KEGGid,SMILES_by_ChEBI,SMILES_by_CAS
C15627,[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc1ccccc1,[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2ccccc2
C15628,CCOP(=O)(OCC)C(=Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)P(=O)(OCC)OCC,CCO[P](=O)(OCC)C(=Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)[P](=O)(OCC)OCC
C15629,CNC(=S)N\N=C1/SCC(=O)N1CC=C,CNC(=S)N\N=C/1SCC(=O)N1CC=C
C15630,None,OC(c1ccc(cc1)N(CC(F)(F)F)[S](=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)F
C15631,OC(=O)Cc1cccc(OCCCN(CC(c2ccccc2)c2ccccc2)Cc2cccc(c2Cl)C(F)(F)F)c1,OC(=O)Cc1cccc(OCCCN(CC(c2ccccc2)c3ccccc3)Cc4cccc(c4Cl)C(F)(F)F)c1
C15632,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@H](CC[C@@H]1OC1(C)C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C
C15633,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4O[C@@]44C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@H](CC[C@@H]1OC1(C)C)[C@H]2CC[C@H]3[C@@H]4C[C@@H]5O[C@@]56C[C@@H](O)CC[C@]6(C)[C@H]4CC[C@]23C
C15634,C\C(=C/c1ccc(cc1)C(O)=O)c1ccc2c(c1)C(C)(C)CCC2(C)C,C\C(=C/c1ccc(cc1)C(O)=O)c2ccc3c(c2)C(C)(C)CCC3(C)C
C15635,CC(C)c1onc(c1COc1ccc(\C=C\c2cccc(c2)C(O)=O)c(Cl)c1)-c1c(Cl)cccc1Cl,CC(C)c1onc(c1COc2ccc(\C=C\c3cccc(c3)C(O)=O)c(Cl)c2)c4c(Cl)cccc4Cl
C15636,C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3([C@@H]([C@@H]([C@@]2(C[C@@H](C1)O)[H])CC)O)[H])(CC[C@@]4([C@@H](CCC(O)=O)C)[H])[H])C)[H])C,CC[C@H]1[C@@H](O)[C@H]2[C@@H]3CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)CC[C@@H]2[C@@]4(C)CC[C@@H](O)C[C@@H]14
C15637,[H][C@@]12CC=C3C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H]([C@@H](C[C@@]21[H])C#N)C(C)=O,CC(=O)[C@H]1[C@@H](C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C#N
C15638,C1[C@H](C[C@]2([C@](C1)([C@@]3([C@@](CC2)([C@]4([C@](CC3)(CCC4)C)[H])[H])[H])C)[H])O,C[C@@]12CCC[C@H]1[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC2
C15639,None,Clc1ccc(cc1)c2nc3sccn3c2\C=N\OCc4ccc(Cl)c(Cl)c4
C15640,None,Cc1cc2c(cc1C3(CC3)c4ccc(cn4)C(O)=O)C(C)(C)CCC2(C)C
C15641,COc1cc(ccc1OCc1ccc(cc1C(F)(F)F)C(F)(F)F)\C=C(/C#N)C(=O)Nc1nnc(s1)C(F)(F)F,COc1cc(ccc1OCc2ccc(cc2C(F)(F)F)C(F)(F)F)/C=C(C#N)/C(=O)Nc3sc(nn3)C(F)(F)F
C15642,CC(C)c1ccc(cc1)\C=N\NC(=O)c1ccc(O)cc1,CC(C)c1ccc(cc1)\C=N\NC(=O)c2ccc(O)cc2
