C00692,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)O
C00693,NAN
C00691,O=C1C(O)C(O)C(O)C(O)C1O
C00696,CCCCCC(O)C=CC1C(=O)CC(O)C1CC=CCCCC(=O)O
C00697,N#N
C00694,CC(=O)NC1COC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O
C00695,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
C03617,NAN
C00698,[Cl-]
C05371,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C
C00061,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C
C19526,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1
C16969,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1ccc(=O)oc1
C11248,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2Cl)CC12CC2
C11539,CC1=C2N3=C(C=C4N5C(=CC6=N7C(=C(CCC(=O)O)C6CC(=O)O)Cc6c(CCC(=O)O)c(CC(=O)O)c1n6[Co-2]573)C(CCC(=O)O)C4(C)CC(=O)O)C(CCC(=O)O)C2(C)CC(=O)O
C11538,CC1(CC(=O)O)C2=CC3=N4C(=Cc5c(CC(=O)O)c(CCC(=O)O)c6n5[Co-2]45N2C(=CC2=N5C(=C6)C(CCC(=O)O)=C2CC(=O)O)C1CCC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O
C19255,Cc1cnc2ccc3c(nc(N)n3C)c2n1
C11243,CC=C1C2=NC(=Cc3c(C(C)=O)c(C)c4n3[Mg]n3c(c(C)c5c3=C(C3=NC(=C4)C(C)C3CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(C(=O)OC)C5=O)=C2)C1C
C11242,CCC1C2=N3C(=Cc4c(C(C)=O)c(C)c5n4[Mg-2]34n3c(c(C)c6c3=C(C3=N4C(=C5)C(C)C3CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(C(=O)OC)C6=O)=C2)C1C
C16217,CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C11240,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1
C11531,NAN
C11246,CC(CCC(=O)O)C1CCC2C3CC(OC4OC(C(=O)O)C(O)C(O)C4O)C4CC(O)CCC4(C)C3CCC12C
C16213,Oc1cc2ccccc2cc1O
C16212,O=C(O)c1cc2ccccc2cc1O
C19257,CC1CN1
C14839,BrC1=CC2OC2C=C1
C18309,CC1=C(Cl)C(=CC(=O)O)OC1=O
C00060,O=CO
C18308,CC1=C(Cl)C(C(Cl)C(=O)O)OC1=O
C19993,NAN
C19252,Cc1cc(C(=C2C=CC(=N)C=C2)c2ccc(N)cc2)ccc1N
C19992,NAN
C19253,Cc1cc2c(nc1N)[nH]c1ccccc12
C19991,NAN
C18305,CC(C(=O)O)C(=O)C=C(Cl)C(=O)O
C19990,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14
C09259,CC1(C)Oc2cc3oc(=O)ccc3cc2CC1O
C09258,CC(C)=CC(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C
C18304,CC(C(=O)O)=C1C=C(Cl)C(=O)O1
C09255,CN1CCC23C(=O)CC4C(=CCOC5CC(=O)N(c6c(O)cccc62)C3C54)C1
C09254,COC(=O)C1=C2Nc3ccccc3C23CCN2CC4(CC5CC67CCOC6CCN6CCC8(c9cccc(OC)c9N(C4)C58O)C67)C4OCCC4(C1)C23
C09257,CC(C)(OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)C1Cc2cc3ccc(=O)oc3cc2O1
C09256,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21
C09251,CCC12CCCN3CCc4c(n(c5ccccc45)C(O)(C(=O)OC)C1)C32
C09250,C=CC1CN2CCc3c([nH]c4ccccc34)C2CC1CC1c2[nH]c3ccccc3c2CCN1C
C09253,CC=C1CN(C)C2Cc3c([nH]c4ccccc34)C(=O)CC1C2C(=O)OC
C09252,CC=C1CN(C)C2Cc3c([nH]c4ccccc34)C(c3cc4[nH]c5c(c4cc3OC)CCN3CC4CC(CC)C3C5(C(=O)OC)C4)CC1C2C(=O)OC
C05589,COc1cc(C(O)CN)ccc1O
C05588,CNCC(O)c1ccc(O)c(OC)c1
C10568,Cn1cnc(C2CNC(=O)C2=Cc2ccccc2)c1
C00671,CCC(C)C(=O)C(=O)O
C05581,COc1cc(CC=O)ccc1O
C05580,O=C(O)C(O)c1ccc(O)c(O)c1
C05583,NAN
C05582,COc1cc(CC(=O)O)ccc1O
C05585,O=Cc1cc(O)ccc1O
C05584,COc1cc(C(O)C(=O)O)ccc1O
C05587,COc1cc(CCN)ccc1O
C16955,CC1=CC=CC(C)(C)CC1=O
C03614,NAN
C00673,O=CCC(O)C(O)COP(=O)(O)O
C00062,N=C(N)NCCCC(N)C(=O)O
C00674,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O
