KEGGid,SMILES_by_CAS
C00259,OC1COC(O)C(O)C1O
C00261,O=Cc1ccccc1
C00262,O=C1N=CNc2nc[nH]c12
C00263,N[C@@H](CCO)C(O)=O
C00264,None
C00265,O[C@@H](CS)[C@@H](O)CS
C00266,OCC=O
C00267,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00268,None
C00269,None
C00270,CC(=O)NC1C(O)CC(O)(OC1C(O)C(O)CO)C(O)=O
C00272,CC(O)C(O)C1CNC2=C(N1)C(=O)N=C(N)N2
C00273,None
C00275,None
C00279,OC(CO[P](O)(O)=O)C(O)C=O
C00280,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O
C00282,[H]
C00283,S
C00284,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
C00286,NC1=NC(=O)c2ncn(C3CC(O)C(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)O3)c2N1
C00288,OC([O-])=O
C00290,CNC(=O)CNC(=O)CN
C00291,[Ni]
C00292,Nc1ccccc1
C00294,OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23
C00295,OC(=O)C1=CC(=O)NC(=O)N1
C00296,OC1CC(O)(CC(O)C1O)C(O)=O
C00297,None
C00298,None
C00299,OCC1OC(C(O)C1O)N2C=CC(=O)NC2=O
C00300,CN(CC(O)=O)C(N)=N
C00301,None
C00302,NC(CCC(O)=O)C(O)=O
C00303,NC(CCC(N)=O)C(O)=O
C00304,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
C00305,[Mg++]
C00306,N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CO)C(=O)N4CCC[C@H]4C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCCN=C(N)N)C(O)=O
C00307,C[N+](C)(C)CCO[P]([O-])(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=CC(=NC2=O)N
C00308,NC(CCON=C(N)N)C(O)=O
C00309,OCC1(O)OC[C@@H](O)[C@H]1O
C00310,OCC(O)C(O)C(=O)CO
C00311,OC(C(CC(O)=O)C(O)=O)C(O)=O
C00312,OCC(O)C(O)C(=O)CO
C00313,None
C00314,Cc1ncc(CO)c(CO)c1O
C00315,NCCCCNCCCN
C00317,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](OC[C@H]3O[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]4CO)[C@H](O)[C@@H](O)[C@@H]3O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
C00318,C[N+](C)(C)CC(O)CC([O-])=O
C00319,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO
C00320,None
C00322,OC(=O)CCCC(=O)C(O)=O
C00323,CC(C)(CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)\C=C\c4ccc(O)c(O)c4
C00324,[Fe-3](|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)|[C]#N
C00325,None
C00326,None
C00327,NC(CCCNC(N)=O)C(O)=O
C00328,N[C@@H](CC(=O)c1ccccc1N)C(O)=O
C00329,NC1C(O)OC(CO)C(O)C1O
C00330,NC1=NC(=O)c2ncn(C3CC(O)C(CO)O3)c2N1
C00331,[O-]C(=O)C(=O)Cc1c[nH]c2ccccc12
C00332,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23
C00333,OC1OC(C(O)C(O)C1O)C(O)=O
C00334,NCCCC(O)=O
C00337,OC(=O)[C@@H]1CC(=O)NC(=O)N1
C00338,None
C00339,None
C00340,None
C00341,None
C00342,None
C00343,None
C00344,None
C00345,None
C00346,NCCO[P](O)(O)=O
C00347,None
C00348,None
C00349,None
C00350,None
C00351,None
